NOMBRE,TIPO,AÑO,MES,AUTOS,MOTOS,AUTOBUS DE 2 EJES,AUTOBUS DE 3 EJES,AUTOBUS DE 4 EJES,CAMIONES DE 2 EJES,CAMIONES DE 3 EJES,CAMIONES DE 4 EJES,CAMIONES DE 5 EJES,CAMIONES DE 6 EJES,CAMIONES DE 7 EJES,CAMIONES DE 8 EJES,CAMIONES DE 9 EJES,TRICICLOS,TOTAL,EJE EXTRA AUTOBUS,EJE EXTRA CAMION,PEATONES
Dovalí Jaime Bis,PUENTE NACIONAL,2024,MAYO,10118,1621,12,4,0,394,62,23,600,70,0,0,17,0,12921,19,0,0
Refineria Lazaro Cárdenas,PUENTE NACIONAL,2024,MAYO,1960,74,5,2,0,165,136,13,328,42,2,2,70,0,2799,10,0,0
Matamoros,PÚENTE INTERNACIONAL,2024,MAYO,96622,436,1,0,0,79,0,4,0,0,0,0,0,0,97142,193,0,159514
Camargo,PÚENTE INTERNACIONAL,2024,MAYO,37904,45,1,0,0,57,176,23,1042,17,12,0,1894,0,41171,278,9,4236
Miguel Alemán,PÚENTE INTERNACIONAL,2024,MAYO,60820,14,3,71,0,117,135,45,3480,34,1,0,0,0,64720,255,0,28329
Reynosa,PÚENTE INTERNACIONAL,2024,MAYO,139339,394,88,994,1,70,6,5,0,0,0,0,0,0,140897,463,0,184518
   Línea Express,PÚENTE INTERNACIONAL,2024,MAYO,83318,0,0,0,0,0,0,0,0,0,0,0,0,0,83318,0,0,0
Las Flores,PÚENTE INTERNACIONAL,2024,MAYO,47495,43,0,0,0,68,632,20,1242,514,37,9,1580,0,51640,154,15,99022
Ojinaga,PÚENTE INTERNACIONAL,2024,MAYO,62042,59,29,122,2,664,174,113,652,12,8,29,14,0,63920,1166,2,3664
Rodolfo Robles,PÚENTE INTERNACIONAL,2024,MAYO,5435,47909,38,53,0,11,0,0,0,0,0,0,1,7842,61289,0,0,28942
Piedras Negras,PÚENTE INTERNACIONAL,2024,MAYO,107387,153,0,0,0,166,0,0,0,0,0,0,0,0,107706,124,0,51355
Acuña,PÚENTE INTERNACIONAL,2024,MAYO,146551,476,0,0,1,1539,992,151,4822,30,25,1,0,0,154588,1107,0,8436
Laredo,PÚENTE INTERNACIONAL,2024,MAYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232163
   Línea Express,PÚENTE INTERNACIONAL,2024,MAYO,116549,0,0,0,0,0,0,0,0,0,0,0,0,0,116549,0,0,0
